stat		kappa score	kappa score	kappa score	confidence interval low	confidence interval low	confidence interval low	confidence interval high	confidence interval high	confidence interval high	standard error	standard error	standard error
method		bootstrap	cohen	fleiss	bootstrap	cohen	fleiss	bootstrap	cohen	fleiss	bootstrap	cohen	fleiss
category	review												
Models and algorithms	review 1	0.9253731343283582	0.0	0.0	-0.2592592592592593	0.0	0.0	0.3191489361702128	0.0	0.0	0.1534036112050233	0.0	0.0
Models and algorithms	review 2	0.8936170212765957	0.0	0.0	-0.30000000000000004	0.0	0.0	0.30439098068831527	0.0	0.0	0.155197172983622	0.0	0.0
Models and algorithms	review 3	0.8904109589041096	0.0	0.0	-0.2953367875647668	0.0	0.0	0.31581196581196547	0.0	0.0	0.15568345223668562	0.0	0.0
Models and algorithms	all reviews	0.903038138332256	0.0	0.0	-0.17318939959260227	0.0	0.0	0.1796875	0.0	0.0	0.09050805095163185	0.0	0.0
Datasets	review 1	0.8992443324937027	0.0	0.0	-0.30575117845390015	0.0	0.0	0.3017456359102245	0.0	0.0	0.1560929457454292	0.0	0.0
Datasets	review 2	0.8979591836734694	0.0	0.0	-0.30890052356020936	0.0	0.0	0.30107526881720437	0.0	0.0	0.15624733801547497	0.0	0.0
Datasets	review 3	1.0	0.0	0.0	-0.3098236775818639	0.0	0.0	0.3085106382978724	0.0	0.0	0.15904111637686963	0.0	0.0
Datasets	all reviews	0.9315068493150684	0.0	0.0	-0.17809850873164623	0.0	0.0	0.17685654637637938	0.0	0.0	0.09000349789271408	0.0	0.0
Code	review 1	1.0	0.0	0.0	-0.30325814536340867	0.0	0.0	0.3017456359102245	0.0	0.0	0.15682402871759293	0.0	0.0
Code	review 2	0.9459459459459459	0.0	0.0	-0.30434782608695654	0.0	0.0	0.30000000000000004	0.0	0.0	0.1554726185043297	0.0	0.0
Code	review 3	1.0	0.0	0.0	-0.30890052356020936	0.0	0.0	0.3038681408424151	0.0	0.0	0.15680440996859796	0.0	0.0
Code	all reviews	0.9826989619377162	0.0	0.0	-0.1792034126933884	0.0	0.0	0.17508417508417518	0.0	0.0	0.09016964781169295	0.0	0.0
Experimental results	review 1	0.6923076923076923	0.0	0.0	-0.24333789041960202	0.0	0.0	0.30562431243124205	0.0	0.0	0.14543134781562667	0.0	0.0
Experimental results	review 2	1.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
Experimental results	review 3	0.935483870967742	0.0	0.0	-0.2804878048780488	0.0	0.0	0.3191489361702128	0.0	0.0	0.15446139177887352	0.0	0.0
Experimental results	all reviews	0.8636363636363636	0.0	0.0	-0.16239316239316248	0.0	0.0	0.186155285313377	0.0	0.0	0.08974968485461694	0.0	0.0
Error bars or statistical significance	review 1		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
Error bars or statistical significance	review 2	1.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
Error bars or statistical significance	review 3	1.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
Error bars or statistical significance	all reviews	1.0	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0
Statement	review 1	0.6859666339548577	0.0	0.0	-0.21212121212121215	0.0	0.0	0.22131147540983598	0.0	0.0	0.11108362060880209	0.0	0.0
Statement	review 2	0.7086368366285121	0.0	0.0	-0.23076923076923084	0.0	0.0	0.23404255319148937	0.0	0.0	0.11941296322838145	0.0	0.0
Statement	review 3	0.833852544132918	0.0	0.0	-0.23404255319148937	0.0	0.0	0.231592593262546	0.0	0.0	0.11920694576049076	0.0	0.0
Statement	all reviews	0.7420522683561489	0.0	0.0	-0.12844051921794558	0.0	0.0	0.12787343241550225	0.0	0.0	0.0657758185747226	0.0	0.0
Comments	review 1	0.8061389337641357	0.0	0.0	-0.15293684700643537	0.0	0.0	0.16943521594684385	0.0	0.0	0.08198203850743209	0.0	0.0
Comments	review 2	0.7046759639048401	0.0	0.0	-0.15990057995028994	0.0	0.0	0.17355371900826444	0.0	0.0	0.08548491299998699	0.0	0.0
Comments	review 3	0.6094385679414158	0.0	0.0	-0.1525613711308029	0.0	0.0	0.164686572376462	0.0	0.0	0.08166708413190467	0.0	0.0
Comments	all reviews	0.7078975838442121	0.0	0.0	-0.09269714077581503	0.0	0.0	0.09619372669770535	0.0	0.0	0.04799331046351471	0.0	0.0
Meta-categories	review 1	1.0	0.0	0.0	-0.30000000000000004	0.0	0.0	0.3162393162393162	0.0	0.0	0.157034289832237	0.0	0.0
Meta-categories	review 2	1.0	0.0	0.0	-0.30000000000000004	0.0	0.0	0.3137254901960784	0.0	0.0	0.156756569876854	0.0	0.0
Meta-categories	review 3	0.935483870967742	0.0	0.0	-0.2849162011173185	0.0	0.0	0.323943661971831	0.0	0.0	0.15575379596755595	0.0	0.0
Meta-categories	all reviews	0.9815837937384899	0.0	0.0	-0.1729857819905214	0.0	0.0	0.1778213825819866	0.0	0.0	0.088981202108852	0.0	0.0
Agreement	all reviews	0.8134328358208955	0.0	0.0	-0.19962511715089026	0.0	0.0	0.2090547763716934	0.0	0.0	0.10494407756241302	0.0	0.0
